name,description,url
Balenciaga,Bouncer clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1a/P00807234.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/77/P00792443.jpg
Brunello Cucinelli,Leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/5c/P00738280.jpg
Berluti,Chukka Alessio Scritto leather Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/5b/P00735456.jpg
Brunello Cucinelli,Leather Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7d/P00738224.jpg
Balenciaga,Track.3 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1d/P00766843.jpg
Balenciaga,x Adidas Speed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/5c/P00767854.jpg
Balenciaga,Cosy leather slippers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/42/P00766852.jpg
Brunello Cucinelli,Leather low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f0/P00738277.jpg
Balenciaga,x Adidas Stan Smith sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/83/P00780269.jpg
Balenciaga,Logo leather slippers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/8c/P00777669.jpg
Balenciaga,Track LED sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f0/P00766847.jpg
Balenciaga,x Adidas Triple S sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/25/P00767856.jpg
Balenciaga,x Adidas Triple S sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/03/P00765311.jpg
Balenciaga,Paris low-top canvas sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1b/P00700946.jpg
Balenciaga,x Adidas Triple S sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/b1/P00765715.jpg
Brunello Cucinelli,Jacquard knit sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0d/P00735491.jpg
Balenciaga,HD rubber low-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c7/P00726282.jpg
Balenciaga,Paris high-top canvas sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/af/P00700949.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3c/P00726292.jpg
Balenciaga,Logo rubber slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e8/P00700952.jpg
Balenciaga,Cozy BB Monogram jacquard slippers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e5/P00700989.jpg
Balenciaga,Pool Crocs™ rubber sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ba/P00731234.jpg
Brunello Cucinelli,Leather Derby shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/13/P00681139.jpg
Givenchy,4G jacquard sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/53/P00687262.jpg
Givenchy,Leather ankle boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f5/P00687363.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f6/P00655747.jpg
Balenciaga,Pool rubber slippers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/22/P00700955.jpg
Balenciaga,Paris distressed canvas sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/10/P00700764.jpg
Balenciaga,Bouncer mesh sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ff/P00700934.jpg
Givenchy,G4 leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/54/P00687269.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/df/P00700939.jpg
Balenciaga,Mold Closed rubber sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/58/P00689620.jpg
Givenchy,4G leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0a/P00687268.jpg
Givenchy,Camouflage rubber slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/91/P00687337.jpg
Balenciaga,Mold Closed rubber sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/38/P00689617.jpg
Givenchy,Monumental Mallow printed shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/92/P00687273.jpg
Givenchy,City 4G jacquard sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/31/P00687264.jpg
Balenciaga,Track.3 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/28/P00655744.jpg
Balenciaga,Track.3 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/47/P00655743.jpg
Givenchy,Monumental Mallow rubber shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1e/P00647915.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/66/P00655746.jpg
Givenchy,Giv 1 lace-up sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/21/P00647910.jpg
Balenciaga,Pool Crocs™ rubber sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/45/P00655677.jpg
Balenciaga,Pool Crocs™ rubber sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/6c/P00655676.jpg
Balenciaga,Pool logo rubber slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/eb/P00655745.jpg
Balenciaga,X-Pander sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/08/P00655754.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/48/P00655753.jpg
Balenciaga,Political Campaign Furry slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/3e/P00636455.jpg
Balenciaga,Trooper rubber boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/b1/P00636497.jpg
Givenchy,Giv 1 high-top sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/46/P00634724.jpg
Balenciaga,X-Pander sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/fc/P00655681.jpg
Balenciaga,X-Pander sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/69/P00655679.jpg
Balenciaga,Phantom sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0d/P00655758.jpg
Balenciaga,Phantom sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1a/P00655761.jpg
Balenciaga,Track.2 open sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/06/P00636520.jpg
Balenciaga,Phantom sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/16/P00655760.jpg
Givenchy,Monumental Mallow shearling-lined sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a1/P00634701.jpg
Balenciaga,Runner sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/65/P00636514.jpg
Balenciaga,Speed 2.0 sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1b/P00636506.jpg
Balenciaga,Pool BB rubber slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7f/P00636494.jpg
Balenciaga,Pool logo rubber slides,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/83/P00636491.jpg
